id,text,sentiment_label,notes
3,If thou couldst answer 'This fair child of mine,positive,weak_lexicon;pos_count=1;neg_count=0
4,"Then what could death do if thou shouldst depart,",negative,weak_lexicon;pos_count=0;neg_count=1
8,"And our dear love lose name of single one,",positive,weak_lexicon;pos_count=1;neg_count=0
16,But bears it out even to the edge of doom:,negative,weak_lexicon;pos_count=0;neg_count=1
18,father. He that so generally is at all times good must of,positive,weak_lexicon;pos_count=1;neg_count=0
25,The help of heaven we count the act of men.,positive,weak_lexicon;pos_count=1;neg_count=0
27,Who shuns thy love shuns all his love in me.,positive,weak_lexicon;pos_count=2;neg_count=0
28,"Where great additions swell's, and virtue none,",positive,weak_lexicon;pos_count=2;neg_count=0
29,"BERTRAM. I cannot love her, nor will strive to do 't.",positive,weak_lexicon;pos_count=1;neg_count=0
35,"Of the great Count himself, she is too mean",positive,weak_lexicon;pos_count=1;neg_count=0
43,"DIANA. Sir, much like",positive,weak_lexicon;pos_count=1;neg_count=0
44,"I'll love her dearly, ever, ever dearly.",positive,weak_lexicon;pos_count=1;neg_count=0
63,"Sweep your way for you. Pray you look not sad,",negative,weak_lexicon;pos_count=0;neg_count=1
67,"THIRD SOLDIER. Peace, I say!",positive,weak_lexicon;pos_count=1;neg_count=0
68,"SCARUS. I had a wound here that was like a T,",positive,weak_lexicon;pos_count=1;neg_count=0
74,"Reliev'd, but not betray'd.",negative,weak_lexicon;pos_count=0;neg_count=1
76,It shall content me best. Be gentle to her.,positive,weak_lexicon;pos_count=2;neg_count=0
84,"There is a vent of blood, and something blown;",negative,weak_lexicon;pos_count=0;neg_count=1
88,"CELIA. O, a good wish upon you! You will try in time, in despite of",positive,weak_lexicon;pos_count=1;neg_count=0
94,"ORLANDO. I almost die for food, and let me have it.",negative,weak_lexicon;pos_count=0;neg_count=1
100,The sight of lovers feedeth those in love.,positive,weak_lexicon;pos_count=1;neg_count=0
101,To glean the broken ears after the man,negative,weak_lexicon;pos_count=0;neg_count=1
107,Whilst I had been like heedful of the other.,positive,weak_lexicon;pos_count=1;neg_count=0
127,"What's done i' th' Capitol, who's like to rise,",positive,weak_lexicon;pos_count=1;neg_count=0
141,MENENIUS. Let's be calm.,positive,weak_lexicon;pos_count=1;neg_count=0
146,"BRUTUS. There's no more to be said, but he is banish'd,",negative,weak_lexicon;pos_count=0;neg_count=1
157,milk in a male tiger; that shall our poor city find. And all this,negative,weak_lexicon;pos_count=0;neg_count=1
160,IMOGEN. Your son's my father's friend; he takes his part,positive,weak_lexicon;pos_count=1;neg_count=0
162,"Have turn'd mine eye and wept. But, good Pisanio,",positive,weak_lexicon;pos_count=1;neg_count=0
167,Which not to read would show the Britons cold;,negative,weak_lexicon;pos_count=0;neg_count=1
188,best use of eyes to see the way of blindness! I am sure hanging's,positive,weak_lexicon;pos_count=1;neg_count=0
201,"reckon my groans; but that I love thee best, O most best, believe",positive,weak_lexicon;pos_count=3;neg_count=0
254,"Upon the foot of fear, fled with the rest;",negative,weak_lexicon;pos_count=0;neg_count=1
256,"With joyful tidings; and, being better hors'd,",positive,weak_lexicon;pos_count=1;neg_count=0
257,And that young Harry Percy's spur was cold.,negative,weak_lexicon;pos_count=0;neg_count=1
260,brought in to his answer. A hundred mark is a long one for a poor,negative,weak_lexicon;pos_count=0;neg_count=1
262,"troth, I do now remember the poor creature, small beer. But",negative,weak_lexicon;pos_count=0;neg_count=1
263,"And be, like them, to Percy troublesome.",positive,weak_lexicon;pos_count=1;neg_count=0
267,WARWICK. Many good morrows to your Majesty!,positive,weak_lexicon;pos_count=1;neg_count=0
268,"'The time will come that foul sin, gathering head,",negative,weak_lexicon;pos_count=0;neg_count=2
269,FALSTAFF. Thy mother's son! Like enough; and thy father's shadow.,positive,weak_lexicon;pos_count=1;neg_count=0
270,"FALSTAFF. Come, thou shalt go to the wars in a gown. We will have",negative,weak_lexicon;pos_count=0;neg_count=1
271,"WESTMORELAND. Health and fair greeting from our general,",positive,weak_lexicon;pos_count=1;neg_count=0
277,"PRINCE. If he be sick with joy, he'll recover without physic.",positive,weak_lexicon;pos_count=1;neg_count=0
286,And shall good news be baffled?,positive,weak_lexicon;pos_count=1;neg_count=0
289,"I have long dreamt of such a kind of man,",positive,weak_lexicon;pos_count=1;neg_count=0
295,WESTMORELAND. They know your Grace hath cause and means and might-,positive,weak_lexicon;pos_count=1;neg_count=0
307,am afeard there are few die well that die in a battle; for how,negative,weak_lexicon;pos_count=0;neg_count=2
311,"What drink'st thou oft, instead of homage sweet,",positive,weak_lexicon;pos_count=1;neg_count=0
313,"Two chantries, where the sad and solemn priests",negative,weak_lexicon;pos_count=0;neg_count=1
354,"But him outlive, and die a violent death.'",negative,weak_lexicon;pos_count=0;neg_count=3
364,"QUEEN. O Henry, let me plead for gentle Suffolk!",positive,weak_lexicon;pos_count=1;neg_count=0
