text,label
I love how smooth this app feels,positive
This movie made my day,positive
The support team solved my issue quickly,positive
I am very happy with the final result,positive
The food was fresh and delicious,positive
Your explanation was clear and helpful,positive
I had a wonderful time at the event,positive
The update improved performance a lot,positive
This is exactly what I needed,positive
Great work on the project delivery,positive
I hate waiting this long for a response,negative
The experience was frustrating and slow,negative
This feature keeps crashing my phone,negative
I am disappointed with the quality,negative
The instructions were confusing and incomplete,negative
Customer service ignored my messages,negative
The product arrived damaged and late,negative
Nothing worked as expected today,negative
This was a waste of time and money,negative
The interface is cluttered and annoying,negative
The meeting is scheduled for noon,neutral
I submitted the form yesterday,neutral
The package is on the table,neutral
We will review the report tomorrow,neutral
